time,temp_c,precip_mm,humidity,wind_kph
2024-12-11 12:30:00,12.8,0.0,96,15.5
2024-12-11 13:30:00,15.1,0.0,96,27.0
2024-12-11 14:30:00,15.3,4.41,96,31.3
2024-12-11 15:30:00,15.0,0.0,96,33.1
2024-12-11 16:15:00,16.1,0.0,93,35.6
2024-12-11 17:30:00,15.6,0.0,96,38.2
2024-12-11 18:30:00,16.1,0.0,97,40.3
2024-12-11 19:00:00,16.1,0.0,93,43.2
2024-12-11 20:30:00,15.6,10.37,93,44.6
2024-12-11 21:30:00,13.9,0.0,93,41.0
2024-12-11 22:00:00,12.8,0.0,96,24.5
2024-12-11 23:00:00,12.8,19.04,96,27.0
2024-12-12 00:30:00,12.2,0.0,97,28.4
2024-12-12 01:30:00,8.9,0.0,89,22.7
2024-12-12 02:30:00,6.1,7.37,79,32.0
2024-12-12 03:30:00,5.6,0.0,70,27.0
2024-12-12 04:00:00,4.4,0.0,79,24.1
2024-12-12 05:30:00,3.9,0.0,67,25.6
2024-12-12 06:30:00,3.9,0.0,55,25.6
2024-12-12 07:30:00,3.9,0.0,52,24.5
2024-12-12 08:45:00,3.3,0.0,62,21.2
2024-12-12 09:15:00,3.9,0.0,64,19.1
2024-12-12 10:30:00,4.4,0.0,59,21.2
2024-12-12 11:30:00,5.2,0.0,46,22.0
2024-12-12 12:30:00,12.1,0.0,98,14.8
2024-12-12 13:00:00,5.3,0.0,41,23.8
2024-12-12 14:30:00,5.1,0.0,39,23.4
2024-12-12 15:30:00,5.3,0.0,39,21.2
2024-12-12 16:00:00,4.4,0.0,36,19.8
2024-12-12 17:30:00,3.9,0.0,37,21.6
2024-12-12 18:00:00,3.3,0.0,42,21.2
2024-12-12 19:30:00,2.2,0.0,42,22.0
2024-12-12 20:30:00,0.6,0.0,47,21.2
2024-12-12 21:30:00,0.1,0.0,43,20.5
2024-12-12 22:30:00,-1.1,0.0,44,18.7
2024-12-12 23:30:00,-1.1,0.0,43,18.0
2024-12-13 00:30:00,-1.7,0.0,44,17.3
2024-12-13 01:00:00,-1.7,0.0,46,17.3
2024-12-13 02:30:00,-1.7,0.0,44,16.6
